text,label
"Win a free prize now click here immediately",spam
"Meeting at 3pm tomorrow in room 204",ham
"Congratulations you have been selected for a 1000 reward",spam
"Can you send me the notes from yesterday's lecture?",ham
"URGENT: Your account will be suspended verify now",spam
"Hi mom I'll be home for dinner around 7",ham
"Free viagra cheap meds buy online",spam
"The project deadline is next Friday",ham
"You are a winner claim your prize",spam
"Lunch this week? Let me know your availability",ham
"Click this link to reset your password fakebank",spam
"Attached is the report you asked for",ham
"Lose weight fast miracle pill",spam
"Thanks for your help with the assignment",ham
"Earn money working from home no experience needed",spam
"See you at the gym after work",ham
"Your invoice is ready please wire transfer",spam
"Happy birthday hope you have a great day",ham
"Exclusive deal limited time offer act now",spam
"The weather looks nice for the weekend hike",ham
"Verify your PayPal account immediately",spam
"Could we reschedule our call to Thursday?",ham
"You have 1 new voicemail listen now",spam
"Here is the recipe you wanted",ham
"Crypto investment guaranteed returns",spam
"I will send the slides by end of day",ham
"Your package could not be delivered click to track",spam
"Good morning team reminder about standup",ham
"Hot singles in your area chat now",spam
"Please review the document when you get a chance",ham
"Lottery winner contact us to claim",spam
"The keys are under the mat",ham
"Risk free trial cancel anytime not really",spam
"Dinner at my place Saturday at 7",ham
"Your computer is infected download cleaner",spam
"Flight confirmed gate B12 departure 10:40",ham
"100 percent free gift card no purchase necessary",spam
"Let me know if you need anything from the store",ham
