text,label,clean_text
Win a free prize now click here immediately,spam,win a free prize now click here immediately
Meeting at 3pm tomorrow in room 204,ham,meeting at pm tomorrow in room
Congratulations you have been selected for a 1000 reward,spam,congratulations you have been selected for a reward
Can you send me the notes from yesterday's lecture?,ham,can you send me the notes from yesterdays lecture
URGENT: Your account will be suspended verify now,spam,urgent your account will be suspended verify now
Hi mom I'll be home for dinner around 7,ham,hi mom ill be home for dinner around
Free viagra cheap meds buy online,spam,free viagra cheap meds buy online
The project deadline is next Friday,ham,the project deadline is next friday
You are a winner claim your prize,spam,you are a winner claim your prize
Lunch this week? Let me know your availability,ham,lunch this week let me know your availability
Click this link to reset your password fakebank,spam,click this link to reset your password fakebank
Attached is the report you asked for,ham,attached is the report you asked for
Lose weight fast miracle pill,spam,lose weight fast miracle pill
Thanks for your help with the assignment,ham,thanks for your help with the assignment
Earn money working from home no experience needed,spam,earn money working from home no experience needed
See you at the gym after work,ham,see you at the gym after work
Your invoice is ready please wire transfer,spam,your invoice is ready please wire transfer
Happy birthday hope you have a great day,ham,happy birthday hope you have a great day
Exclusive deal limited time offer act now,spam,exclusive deal limited time offer act now
The weather looks nice for the weekend hike,ham,the weather looks nice for the weekend hike
Verify your PayPal account immediately,spam,verify your paypal account immediately
Could we reschedule our call to Thursday?,ham,could we reschedule our call to thursday
You have 1 new voicemail listen now,spam,you have new voicemail listen now
Here is the recipe you wanted,ham,here is the recipe you wanted
Crypto investment guaranteed returns,spam,crypto investment guaranteed returns
I will send the slides by end of day,ham,i will send the slides by end of day
Your package could not be delivered click to track,spam,your package could not be delivered click to track
Good morning team reminder about standup,ham,good morning team reminder about standup
Hot singles in your area chat now,spam,hot singles in your area chat now
Please review the document when you get a chance,ham,please review the document when you get a chance
Lottery winner contact us to claim,spam,lottery winner contact us to claim
The keys are under the mat,ham,the keys are under the mat
Risk free trial cancel anytime not really,spam,risk free trial cancel anytime not really
Dinner at my place Saturday at 7,ham,dinner at my place saturday at
Your computer is infected download cleaner,spam,your computer is infected download cleaner
Flight confirmed gate B12 departure 10:40,ham,flight confirmed gate b departure
100 percent free gift card no purchase necessary,spam,percent free gift card no purchase necessary
Let me know if you need anything from the store,ham,let me know if you need anything from the store
